Date,Open,High,Low,Close,Volume,Adj Close
6/19/2014,38.73,39.3,38.32,38.9,24618300,38.9
6/18/2014,38.16,38.83,37.75,38.74,23660900,38.74
6/17/2014,38.03,38.55,37.3,38.02,30297600,38.02
6/16/2014,36.7,38.17,36.44,38.02,29818300,38.02
6/13/2014,36.85,37.25,35.9,36.9,29105500,36.9
6/12/2014,35.06,37.27,35.06,36.79,58081500,36.79
6/11/2014,35.07,35.97,34.93,35.54,29981000,35.54
6/10/2014,34.73,35.5,34.66,35.37,36503400,35.37
6/9/2014,33.24,34.55,33.09,34.47,23358200,34.47
6/6/2014,34.14,34.41,33.22,33.33,23339800,33.33
6/5/2014,33.67,34.89,33.11,33.89,40904900,33.89
6/4/2014,32.49,33.32,31.85,32.9,24863000,32.9
6/3/2014,31.73,32.69,31.65,32.58,19948800,32.58
6/2/2014,32.89,33.2,31.62,31.75,31154200,31.75
5/30/2014,33.73,33.86,32.11,32.44,40566000,32.44
5/29/2014,34.67,35.14,33.88,34,54016300,34
5/28/2014,31.5,33.84,31.09,33.77,60302800,33.77
5/27/2014,30.94,31.2,30.38,30.51,25240100,30.51
5/23/2014,31.51,31.68,30.45,30.5,27448000,30.5
5/22/2014,31.33,32.25,30.52,31.52,35566200,31.52
5/21/2014,31.85,31.95,31.15,31.75,15562600,31.75
5/20/2014,32,32.39,31.52,31.77,16580500,31.77
5/19/2014,32.05,32.44,31.64,32.07,15952800,32.07
5/16/2014,32.95,33.21,32.02,32.26,21391400,32.26
5/15/2014,33.02,33.29,32.16,32.77,22030500,32.77
5/14/2014,33.35,33.83,32.62,32.85,20029400,32.85
5/13/2014,33.84,34.06,32.89,33.39,24676800,33.39
5/12/2014,33.08,34.1,32.4,33.94,34712700,33.94
5/9/2014,32.23,33.11,31.75,32.05,31888800,32.05
5/8/2014,31.48,32.98,31.13,31.96,51282800,31.96
5/7/2014,31.97,32,29.51,30.66,68876300,30.66
5/6/2014,35.61,36.1,31.72,31.85,134710000,31.85
5/5/2014,38.52,39.6,38.05,38.75,10405200,38.75
5/2/2014,39.2,39.86,38.7,39.02,12729500,39.02
5/1/2014,39.01,40.77,38.97,39.09,15759800,39.09
4/30/2014,37.66,38.98,37.24,38.97,38397900,38.97
4/29/2014,40.53,43.97,40.17,42.62,28127700,42.62
4/28/2014,41.76,42.35,39.3,40.73,14358900,40.73
4/25/2014,44.29,44.44,41.31,41.61,13712400,41.61
4/24/2014,46.71,46.79,43.63,44.82,11011700,44.82
4/23/2014,45.88,46.17,44.87,45.95,7340200,45.95
4/22/2014,46.23,47.09,45.8,46.02,6996900,46.02
4/21/2014,44.96,46.3,44.64,46.13,6921200,46.13
4/17/2014,44.66,46.55,43.91,45.01,12304400,45.01
4/16/2014,45.42,45.56,43.54,44.42,13919600,44.42
4/15/2014,41.28,45.55,40.76,45.52,24285100,45.52
4/14/2014,41.4,41.95,40.12,40.87,10414200,40.87
4/11/2014,40.79,41.1,39.68,40.05,9999700,40.05
4/10/2014,42.85,43.25,40.93,41.34,10720900,41.34
4/9/2014,42.23,43.06,41.77,42.49,14330700,42.49
4/8/2014,43.42,43.42,41.55,41.78,14514500,41.78
4/7/2014,42.87,44.6,42.26,42.45,12053000,42.45
4/4/2014,44.2,44.87,42.37,43.14,13824400,43.14
4/3/2014,45.48,45.61,43.38,44.05,11175800,44.05
4/2/2014,47.4,47.44,45.51,45.73,7911300,45.73
4/1/2014,46.71,47.59,46.18,46.98,6916100,46.98
3/31/2014,47.55,47.75,46.43,46.67,5794500,46.67
3/28/2014,46.65,47.34,45.7,47.3,9610500,47.3
3/27/2014,45.09,46.4,43.31,46.32,15507600,46.32
3/26/2014,48.06,48.3,44.25,44.43,16079700,44.43
3/25/2014,49.35,49.7,47.58,47.88,8225600,47.88
3/24/2014,50.69,50.94,47.77,48.77,12325700,48.77
3/21/2014,50.24,50.92,49.51,50.92,11801400,50.92
3/20/2014,51,51.66,49.64,50.12,10086200,50.12
3/19/2014,50.8,51.98,50.71,51.24,7624200,51.24
3/18/2014,52.03,52.21,50.29,51.13,12228900,51.13
3/17/2014,52.08,52.49,51.35,52.05,6600900,52.05
3/14/2014,53.4,53.91,51.8,51.92,9570400,51.92
3/13/2014,54.9,55.45,53.2,53.57,7671500,53.57
3/12/2014,54.25,55.3,53.88,54.5,5818400,54.5
3/11/2014,54.16,55.84,53.8,54.02,11762600,54.02
3/10/2014,54.09,54.59,53.38,53.88,5759600,53.88
3/7/2014,55.18,55.2,53.31,53.53,7311500,53.53
3/6/2014,54.91,56.09,54.7,54.83,9005700,54.83
3/5/2014,54.53,55.03,53.75,54.38,5672000,54.38
3/4/2014,54.25,55.28,54.12,54.28,6706300,54.28
3/3/2014,53.89,54.4,52.9,53.71,9602300,53.71
2/28/2014,55.93,56,54.13,54.91,8137200,54.91
2/27/2014,56.34,56.69,55.4,55.77,6537700,55.77
2/26/2014,55,56.99,54.9,55.87,12116000,55.87
2/25/2014,55.89,55.95,54.5,54.96,9288500,54.96
2/24/2014,56.03,56.49,55.3,55.78,8451200,55.78
2/21/2014,57.1,57.2,55.7,55.92,7714300,55.92
2/20/2014,55.82,57.08,54.65,56.63,12097500,56.63
2/19/2014,58.47,58.95,54.62,55.5,25772100,55.5
2/18/2014,57.88,58.64,56.77,58.18,10719500,58.18
2/14/2014,57.02,57.86,56.7,57.44,12512400,57.44
2/13/2014,56.07,58.98,55.46,56.47,26009500,56.47
2/12/2014,55.05,57,54.76,56.85,20040400,56.85
2/11/2014,53.2,54.4,53.1,54,13162900,54
2/10/2014,54.5,54.59,52.34,52.92,15857400,52.92
2/7/2014,51.23,54.92,50.75,54.35,32204400,54.35
2/6/2014,50.61,53.9,49.99,50.03,64856500,50.03
2/5/2014,67.16,67.24,64.8,65.97,31504900,65.97
2/4/2014,66.25,66.37,64.5,66.32,13017400,66.32
2/3/2014,65.92,66.48,64.21,65.25,17890300,65.25
1/31/2014,63.39,65.37,62.65,64.5,15498800,64.5
1/30/2014,63.98,65.24,62.8,63.47,17424300,63.47
1/29/2014,59.62,60.95,58.6,59.45,9140000,59.45
1/28/2014,57.44,60.85,57.35,60.44,9346800,60.44
1/27/2014,61.77,61.77,56.1,57.91,18982700,57.91
1/24/2014,62.17,63.62,61.3,61.74,12942200,61.74
1/23/2014,61.45,62.81,60.88,62.8,10183700,62.8
1/22/2014,63.11,63.8,61.76,62.44,12039000,62.44
1/21/2014,63.33,63.44,61.5,62.53,13733200,62.53
1/17/2014,63.6,64.69,61.59,62.2,28391100,62.2
1/16/2014,61.45,62.4,60.46,60.57,16589400,60.57
1/15/2014,59.11,61.75,58.32,61.57,21537300,61.57
1/14/2014,58.88,59.02,57.36,58.21,14778000,58.21
1/13/2014,59.98,60.38,57.29,57.82,20978100,57.82
1/10/2014,57.5,58.76,55.87,57,22375900,57
1/9/2014,59.54,60.81,55.59,57.05,31092100,57.05
1/8/2014,58.71,61.26,57.92,59.29,27263200,59.29
1/7/2014,67.67,67.73,61.39,61.46,31748400,61.46
1/6/2014,64.83,66.87,63.5,66.29,27243700,66.29
1/3/2014,69,70.43,68.43,69,33207200,69
1/2/2014,65,67.5,64.4,67.5,29246400,67.5
12/31/2013,62.36,65.22,61.65,63.65,27814600,63.65
12/30/2013,60.27,63.71,58.57,60.51,55538300,60.51
12/27/2013,70.1,71.25,63.69,63.75,60418700,63.75
12/26/2013,72.88,74.73,69.13,73.31,82761100,73.31
12/24/2013,66.34,70.87,65.56,69.96,35802700,69.96
12/23/2013,59.85,64.99,59.7,64.54,22163800,64.54
12/20/2013,58.51,60.25,58.01,60.01,26207400,60.01
12/19/2013,55.08,57.75,55,57.49,13152500,57.49
12/18/2013,57,57,54.23,55.51,16659800,55.51
12/17/2013,56.97,57.38,54.62,56.45,22115200,56.45
12/16/2013,57.86,60.24,55.76,56.61,39310800,56.61
12/13/2013,56.2,59.41,55.45,59,38979600,59
12/12/2013,52.2,55.87,50.69,55.33,23446900,55.33
12/11/2013,52.4,53.87,51,52.34,26631500,52.34
12/10/2013,48.9,52.58,48.7,51.99,25792000,51.99
12/9/2013,45.59,49.84,45.02,49.14,17366600,49.14
12/6/2013,45.75,45.8,44.54,44.95,6230000,44.95
12/5/2013,43.45,46.35,42.83,45.62,11729400,45.62
12/4/2013,41.27,43.92,41.27,43.69,11014900,43.69
12/3/2013,40.69,41.6,40.54,41.37,5771000,41.37
12/2/2013,41.79,42,40.4,40.78,6424300,40.78
11/29/2013,41.4,41.58,40.9,41.57,4107000,41.57
11/27/2013,40.47,41.4,40.35,40.9,5536300,40.9
11/26/2013,39.16,40.55,38.92,40.18,9828400,40.18
11/25/2013,41.08,41.14,38.8,39.06,14333300,39.06
11/22/2013,41.81,42.28,40.97,41,6185200,41
11/21/2013,41.25,42.49,40.37,42.06,8324700,42.06
11/20/2013,41.4,41.75,40.51,41.05,5767300,41.05
11/19/2013,41.39,41.9,40,41.75,7436600,41.75
11/18/2013,43.5,43.95,40.85,41.14,12810600,41.14
11/15/2013,45.25,45.27,43.43,43.98,8010600,43.98
11/14/2013,42.34,45.67,42.24,44.69,11099400,44.69
11/13/2013,41.03,42.87,40.76,42.6,8688300,42.6
11/12/2013,43.66,43.78,41.83,41.9,6316700,41.9
11/11/2013,40.5,43,39.4,42.9,16113900,42.9
11/8/2013,45.93,46.94,40.69,41.65,27925300,41.65
11/7/2013,45.1,50.09,44,44.9,117701600,44.9
